transaction_id,customer_id,transaction_date,amount,channel,merchant_city,items,discount
T0000000,C002269,2024-03-04,4579.38,store,Pune,8,0.097
T0000001,C000901,2024-12-22,7157.28,online,Delhi,9,
T0000002,C000776,2024-01-18,2338.48,store,Bengaluru,10,0.109
T0000003,C003129,2025-09-28,425.91,online,Pune,1,0.056
T0000004,C003586,2025-02-09,454.61,store,Lucknow,6,0.038
T0000005,C003386,2024-05-11,1597.04,store,Kolkata,11,0.069
T0000006,C004108,2025-01-24,681.64,mobile,Delhi,11,0.143
T0000007,C000437,2025-11-16,3429.18,online,Kolkata,10,
T0000008,C000940,2024-02-08,2582.15,mobile,Mumbai,3,0.131
T0000009,C005295,2024-03-16,4003.22,online,Lucknow,5,0.061
T0000010,C002432,2024-01-10,5671.0,mobile,Hyderabad,6,0.02
T0000011,C004148,2024-07-07,1088.14,mobile,Mumbai,1,0.001
T0000012,C002859,2024-02-17,1271.4,mobile,Bengaluru,10,0.053
T0000013,C001387,2025-01-23,322.33,store,Delhi,8,0.034
T0000014,C005024,2025-02-04,784.36,store,Delhi,7,0.279
T0000015,C002796,2024-06-03,643.89,store,Ahmedabad,10,0.124
T0000016,C004646,2025-09-22,3417.03,store,Bhopal,1,0.053
T0000017,C000156,2025-07-22,595.86,online,Lucknow,8,
T0000018,C003597,2024-12-04,1464.06,store,Ahmedabad,8,0.051
T0000019,C001187,2025-12-09,885.38,online,Bengaluru,5,0.061
T0000020,C001852,2024-09-02,6507.5,mobile,Kolkata,7,0.141
T0000021,C004100,2025-11-20,4662.76,store,Lucknow,8,0.046
T0000022,C005634,2024-05-11,970.3,online,Ahmedabad,8,0.012
T0000023,C005815,2024-02-17,3360.8,online,Kolkata,6,0.069
T0000024,C001122,2024-01-15,553.02,mobile,Kochi,6,0.018
T0000025,C001986,2024-05-12,1591.5,phone,Kolkata,2,0.165
T0000026,C001118,2024-04-19,760.81,online,Mumbai,4,0.111
T0000027,C005622,2024-08-31,1184.0,mobile,Pune,9,0.071
T0000028,C002811,2025-02-04,907.46,mobile,Delhi,3,0.058
T0000029,C004324,2024-07-10,716.69,store,Pune,9,0.102
T0000030,C002356,2025-05-09,3001.83,online,Jaipur,7,0.059
T0000031,C000021,2024-10-16,2019.42,online,Hyderabad,3,0.077
T0000032,C006033,2024-04-06,1929.79,online,Lucknow,6,0.136
T0000033,C000760,2025-09-30,3996.39,mobile,Hyderabad,10,0.173
T0000034,C005768,2025-08-28,1557.21,store,Jaipur,9,0.103
T0000035,C000748,2025-10-29,1976.39,store,Kolkata,7,0.075
T0000036,C000394,2024-04-19,1587.5,phone,Lucknow,1,0.045
T0000037,C005748,2024-12-21,1044.48,online,Ahmedabad,8,
T0000038,C004455,2024-06-02,750.64,mobile,Kolkata,9,0.074
T0000039,C004182,2024-11-29,2836.11,online,Lucknow,3,0.046
T0000040,C000908,2024-12-12,12942.42,mobile,Mumbai,8,0.014
T0000041,C003177,2024-09-08,2282.41,online,Lucknow,4,0.019
T0000042,C005008,2024-04-28,1756.96,online,Jaipur,7,0.051
T0000043,C003948,2025-12-12,1328.48,online,Hyderabad,10,0.005
